Date,Time,Plan A Code,Plan A Title,Plan A Rationale,Plan B Code,Plan B Title,Plan B Rationale,Plan B Type,Plan B Link,Plan C Code,Plan C Title,Plan C Rationale
2026-03-16,11:00 - 13:00,S81595,GTC 2026 Keynote,"Jensen's roadmap for Physical AI and Blackwell/GR00T updates.",2493,Claim Your Free Self-Paced Developer Training,"Foundational AI infrastructure knowledge for edge deployment.",DLI Self-Paced Training,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-2493/,,,
2026-03-16,14:00 - 15:45,DLIT81879,Create Vision AI Applications With Generative AI Coding Agents,"Hands-on VLM agent creation for robotic scene understanding.",S81633,Scale Sports Intelligence and Insight With Foundational Models,"Insight into foundation models for high-speed motion/video intelligence.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81633/,,,
2026-03-16,16:00 - 17:45,DLIT81774,Build a Video Analytics AI Agent With Vision Language Models,"Building the perception backbone for real-time mobile robot vision.",S81786,Shaping the Next Era of Autonomous Driving Through Safety-Centered AI,"Understanding safety-critical perception architectures for mobile systems.",Panel Discussion,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81786/,,,
2026-03-17,09:00 - 09:40,S81833,Optimize Performance of Vision AI Models on the Edge,"Direct optimization strategies for Jetson-based robotics.",DLIT81861,"Compress, Cut, and Distill: The Latest Gen AI Model Compression Techniques in Practice","Mastering quantization for efficient on-device VLM inference.",Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81861/,,,
2026-03-17,10:00 - 10:40,S81836,Visual AI Agents for Real-Time Video Understanding,"Core agentic logic for autonomous monitoring and intervention.",S81674,"AI Agents, Robotics, and Digital Twins: The Full Stack of Self-Driving Labs and Biomanufacturing","Understanding the intersection of digital twins and physical robot fleets.",Lightning Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81674/,,,
2026-03-17,13:00 - 14:45,DLIT82342,Transform Massive Raw Data Into Diverse High-Quality Post-Training Datasets,"Solving data scarcity for specialized robotics domains like surgery/lab.",S81702,"Agentic AI Using Open Source Models: Finetuning, Deployment and Chip Design Case Studies","Custom agentic frameworks for domain-specific deployment.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81702/,,,
2026-03-17,15:00 - 15:40,S82418,"All Roads, All Rides: Technical Foundations for a Universal Autonomy Platform","Architectures for universal environment navigation and mapping.",S81730,Leverage Physical AI to Simulate and Orchestrate Robotic Fleets for Retail Fulfillment Centers,"Production-scale logistics and fleet management strategies.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81730/,,,
2026-03-17,16:00 - 16:40,S81832,"How AI Is Changing Everyday Work, Insights from NVentures Portfolio Companies","Industry trends in Physical AI deployment from top-tier startups.",S81755,"Scaling AI Agents Globally Across Brands, Use Cases, and Restaurants","Enterprise-grade agent deployment and operational scaling.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81755/,,,
2026-03-18,08:00 - 09:45,DLIT81541,Build Surgical and Medical Robotics With NVIDIA Isaac for Healthcare: From Simulation to Deployment,"End-to-end sim-to-real workflow for precision manipulators.",C81931,Your Path to Physical AI and OpenUSD Certification at GTC,"Validating expertise in Physical AI architectures and OpenUSD.",Certification,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-c81931/,,,
2026-03-18,10:00 - 11:45,DLIT81738,Deploy and Optimize LLMs and VLMs on NVIDIA Jetson Thor,"Cutting-edge hardware deployment for project 'Robot Scene Inspector'.",S82359,Use Reinforcement Learning to Turn AI Agents Into Continuous Learners,"Applying RL for adaptive robot behavior and self-improvement.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82359/,,,
2026-03-18,13:00 - 14:45,DLIT81644,Generate Synthetic Data for Physical AI with NVIDIA Cosmos World Foundation Models,"Using world models to bridge the reality gap for autonomous systems.",S81863,A New Frontier for Vision AI with Expert Reasoning Agents,"Deep reasoning for complex multi-modal interaction at the edge.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s81863/,,,
2026-03-18,16:00 - 17:00,S82167,Advancing to AI's Next Frontier: Insights From Jeff Dean and Bill Dally,"Strategic future of AI compute and architectural breakthroughs.",S82224,Vision to AI-Driven Software Engineering,"AI agents for the coding and deployment lifecycle.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82224/,,,
2026-03-19,09:00 - 09:40,S82432,Agentic AI 101,"Foundational concepts for the final networking discussion.",OPEN,No Plan B defined,"Strategic time for networking/expo exploration.","","",SE82375,"Vibe Hack: Rapid Prototyping, From Idea to Reality","Applying morning insights to a rapid build."
2026-03-19,10:00 - 11:45,DLIT81776,Adding Safety and Perception to Industrial Robots,"Finalizing the safety-critical layer of your robotics project.",DLIT81572,Powering Specialized Agents: Architecting Synthetic Data Pipelines with NVIDIA Data Designer,"Advanced synthetic data pipelines for specialized robotic tasks.",Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81572/,SE82375,"Vibe Hack: Rapid Prototyping, From Idea to Reality","Applying lab techniques to the hackathon project."
2026-03-19,12:00 - 12:40,S81875,Interactive Digital Twin for Fusion With Integrated Sensors and Agentic AI,"Integrating multi-sensor data into a unified agentic digital twin.",S82413,How AI Systems Evolve Into Long-Horizon Agents,"Managing complex, multi-step tasks for long-mission autonomy.",Talk,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82413/,,,
2026-03-19,13:00 - 14:45,DLIT82311,Train and Test End-to-End Autonomous Vehicles with Alpamayo,"Reasoning-based autonomous navigation at scale.",DLIT81757,Advance World Simulation With 3D Gaussian Splatting for Large-Scale Environment Reconstruction,"Reconstructing real-world environments for accurate simulation.",Training Lab,https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dlit81757/,,,
2026-03-19,15:00 - 15:50,CWES82381,"Agentic AI II: Production Deployment, Safety and Scale","Production-ready agent deployment strategies and safety guardrails.",QA82372,"What's in Your Developer Toolbox? CUDA, AI, and HPC Profiling, Optimization, and Debugging Tools","Optimizing the full robotics stack for peak performance.","","",,,
