Session ID,Title,Type,Day/Date,Time,Room,Topic,Keywords,Brief,Link
DLIW82209,Accelerated Networking for AI Infrastructure,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC 230C (L2),,,"Gain a holistic understanding of AI factory networking, exploring how key communication methods between GPUs, racks, and storage shape overall AI performance and scalability.   Bring your own laptop and experience AI factory networking in action. In AI factories, the network is critical to maximi...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82209/
DLIW82265,Fundamentals of GPU-Accelerated Workflows with CUDA Python,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC LL20AB (LL),,,"This course delivers a hands-on introduction to GPU-accelerated computing in Python, empowering developers to build fast, scalable applications using NVIDIA’s CUDA ecosystem. Through guided notebooks, participants master CuPy for array acceleration, cuDF for GPU DataFrames, and the cuda-python AP...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82265/
DLIW82267,Adding New Knowledge to LLMs,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC LL21CD (LL),,,"In today's AI landscape, even powerful Large Language Models (LLMs) face limitations when confronted with specialized business knowledge, technical domains, or cultural contexts absent from their training data. While retrieval-augmented generation can mitigate some gaps, true domain mastery requi...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82267/
DLIW82268,Building Observable and Scalable Multi-Agent Workflows for Asset Lifecycle Management,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC 230B (L2),,,"Learn to develop multi-agent workflows tailored for Asset Lifecycle Management use cases within industrial process applications. You'll be introduced to the NVIDIA open-source NeMo Agent Toolkit (NAT) and its key features, enabling the creation of a comprehensive and customizable reference soluti...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82268/
DLIW82269,Building AI Agents with Multimodal Models,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 4:30 p.m. PDT,SJCC LL20CD (LL),,,"Just like how humans have multiple senses to perceive the world around them, computers have a variety of sensors to help perceive the human world. In the health industry, computed tomography (CT) scans provide a 3D representation used to detect potentially dangerous abnormalities. In the robotics...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82269/
DLIW82270,Building LLM Applications with Prompt Engineering,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC 230A (L2),,,"With the incredible capabilities of large language models (LLMs), enterprises are eager to integrate them into their products and internal applications for a wide variety of use cases, including (but not limited to) text generation, large-scale document analysis, and chatbot assistants. The faste...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82270/
DLIW82272,OpenUSD Crash Course: Build 3D Data Pipelines for Physical AI,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC LL21F (LL),,,"Discover how OpenUSD principles and Python scripting can build scalable 3D data pipelines for manufacturing, robotics, and physical AI applications. Throughout this full-day workshop, you'll learn composition arc techniques, asset hierarchy design, and performance optimization strategies essentia...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82272/
DLIW82273,"How to Simulate, Train, Validate, and Deploy an End-to-End Robotics Workflow with NVIDIA Isaac",Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC LL21AB (LL),,,"In this full-day workshop, we'll guide you through an end-to-end robotic workflow—from simulation-based training to real-world robot deployment. You'll simulate the robot in NVIDIA Isaac Sim™, train the policies in Isaac Lab, validate the trained skills through software-in-the-loop testing, and d...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82273/
DLIW82274,Deploying and Optimizing AI Inference at Scale,Full-Day Workshop,"Sunday, March 15",8:30 a.m. - 5:00 p.m. PDT,SJCC LL21E (LL),,,"As foundation models move toward deeper test-time computation, inference becomes the dominant scaling constraint. Latency, throughput, and cost are governed by a small set of forces: autoregressive decoding, KV-cache growth, memory bandwidth, and scheduling under contention. This workshop frames ...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-dliw82274/
S82476,GTC Live 2026 Keynote Pregame,Pregame,"Monday, March 16",8:00 a.m. - 11:00 a.m. PDT,Arena Green,,,"Catch the excitement of the keynote pregame.  Be there for the live conversations between the hosts and industry leader panelists as they examine accelerated computing beyond AI, NVIDIA’s role as a full-stack infrastructure company, and the five-layer foundation behind one of the largest infrastr...",https://www.nvidia.com/gtc/session-catalog/sessions/gtc26-s82476/
